Language_area	Surname_Name	Pseudonyms	Year_Birth	Year_Death	Nationality	Gender	Journals
DE	Helling, Servais	NONE	Missing	Missing	Missing	Missing	GT
DE	Hellmann, Linda	NONE	Missing	Missing	Missing	F	NU
DE	Hennecke, Hans	NONE	1897	1977	DE	M	GT
DE	Hensel, Gerhard	NONE	Missing	Missing	DE	M	WA
DE	Henze, Helene	NONE	Missing	Missing	Missing	F	MO
DE	Herlitschka, Herberth E.	NONE	1893	1970	AT	M	ME; MO; NU
DE	Herwig, Gisela	NONE	Missing	Missing	Missing	F	NU
DE	Hesse, Eva	NONE	1925	2020	DE	F	ME
DE	Hildesheimer, Wolfgang	NONE	1916	1991	DE	M	ME
DE	Hilzheimer, Helmut	NONE	Missing	Missing	Missing	M	MO
DE	Hinderberger, Hannelise	NONE	1904	1992	CH	F	MO
DE	Hinterhäuser, Hans	NONE	1919	2005	DE	M	ME
DE	Hirsch, Wolfgang	NONE	Missing	Missing	Missing	M	NU
DE	Hocke, Gustav René	NONE	1908	1985	DE	M	ME
DE	Hohenemser-Steglich, Helly	Hohenemser, Helly	Missing	Missing	Missing	F	ME
DE	Holthusen, Johannes	NONE	1924	1985	DE	M	ME
DE	Horschitz-Horst, Annemarie	Horst, Annemarie	1899	1970	DE	F	NU; KA
DE	Horst, Karl August	NONE	1913	1973	DE	M	ME; MO
DE	Huber, Jakob	NONE	Missing	Missing	Missing	M	MO
DE	Hutten, Karl-Ulrich von	NONE	Missing	Missing	Missing	M	MO
DE	Ihle, Elisabeth	NONE	1893	Missing	Missing	F	MO
DE	Jacobi, Lucy von	Geldern, Lucy; Alzey, Elizabeth, Humm, L.; Rossi, Lino	1887	1956	AT; DE	F	MO
DE	Jacobs, Erika	Jacobs, Erica	Missing	Missing	Missing	F	WA
DE	Jaffé, Fritz	Fritz Bernhard	1892	1974	DE	M	ME; MO
DE	Jaffé-Richthofen, Else	NONE	1874	1973	DE	F	WA
DE	Jahn, Janheinz	NONE	1918	1973	DE	M	GT
DE	Janès, Jean W.	NONE	Missing	Missing	Missing	M	UM
DE	Kaempfe, Alexander	NONE	1930	1988	DE	M	ME
DE	Kaerrick, Elisabeth	Rahsin, E.K.	1886	1966	RU; DE	F	MO
DE	Kahler, Erich	NONE	1885	1970	DE	M	ME; WA
DE	Kahn, Harry	NONE	1883	1970	DE	M	NU
DE	Kaiser, E.	Braem-Kaiser, Elisabeth	1925	Missing	DE	F	ME
DE	Kalmer, Josef	Kalmer, Joseph	1898	1959	AT	M	MO; NU
DE	Kaskell, Joseph	NONE	1892	1989	DE; US	M	NU
DE	Kautsky-Brunn, Gerda	NONE	1895	1964	AT	F	MO
DE	Keller, F. O.	NONE	Missing	Missing	Missing	Missing	NU
DE	Kemp, Friedhelm	Umbran, Friedrich	1914	2011	DE	M	ME; GT; WA
DE	Kempski, Jürgen v.	NONE	1910	1998	DE	M	ME
DE	Kesser, Armin	NONE	1906	1965	CH; DE	M	ME
DE	Kiechler, Walter	NONE	1908	1969	DE	M	GT
DE	Kiel, Hanna	NONE	Missing	Missing	Missing	F	MO; ME
DE	Kienlechner, Toni	Müller, Antonie Maria (birth name)	1919	2010	DE	F	ME
DE	Kilpper, Gustav	NONE	1879	1963	DE	M	ME; MO
DE	Kinzel, Wolf	NONE	Missing	Missing	Missing	M	MO
DE	Kirschberger, Walter	NONE	Missing	Missing	Missing	M	UM
DE	Kluger, Herbert	NONE	Missing	Missing	DE	M	ME
DE	Knoepfmacher, Hugo	NONE	1890	1980	AT; US	M	MO
DE	Knust, Jutta	NONE	1913	Missing	Missing	F	ME
DE	Knust, Theodor A.	NONE	1908	Missing	Missing	M	ME
DE	Koffka, Mira	Klein, Miriam Maxa	1886	1977/78	DE	F	ME
DE	Korth, Clemens	NONE	Missing	Missing	DE	M	UM
DE	Koval, Alexander	NONE	1922	1986	DE	M	MO
DE	Kracauer, Siegfried	NONE	1889	1966	DE; US	M	MO
DE	Kraushaar, Richard	NONE	1898	1962	DE	M	ME
DE	Küchler, Walter	NONE	1877	1953	DE	M	WA
DE	Kutscher, Irmgard	NONE	Missing	Missing	Missing	F	MO
DE	Lachmann, Peter	NONE	1935	Missing	DE; PL	M	MO
DE	Landmann, Michael	NONE	1913	1984	CH	M	WA
DE	Landry, H.	NONE	Missing	Missing	Missing	Missing	NU
DE	Langer, Felix	NONE	1889	1979	AT	M	NU
DE	Laporte, Luise	NONE	Missing	Missing	Missing	F	MO
DE	Larsen, Egon	NONE	1904	1990	DE; GB	M	NU
DE	Larsen, Magda H.	NONE	Missing	Missing	Missing	F	NU
DE	Lehmann, Wilhelm	NONE	1882	1968	DE	M	NU
DE	Leishman, James Blair	NONE	1902	1963	GB	M	NU
DE	Leithäuser, Joachim Gustav	NONE	1910	1965	DE	M	MO
DE	Lemke, Bruno	NONE	Missing	Missing	Missing	M	MO
DE	Lendt-Michaelis, Ilse	NONE	1903-	Missing	DE	F	NU
DE	Leonhard, Kurt	NONE	1910	2005	DE	M	MO; ME
DE	Lepiorz, Gerhard	NONE	Missing	Missing	Missing	M	MO
DE	Leroy, E.	NONE	Missing	Missing	DE	Missing	UM
DE	Levitin, Isabella	NONE	Missing	Missing	Missing	F	ME
DE	Lichtenstein, Grete	NONE	Missing	Missing	Missing	F	KA
DE	Lilius, Charlotte	NONE	1899	Missing	FI	F	MO
DE	Lind, Georg R.	NONE	1926	1990	DE	M	ME
DE	Lindemann, Helmut	NONE	1912	1998	DE	M	ME; MO
DE	Lindt, Inge	NONE	Missing	Missing	Missing	F	MO
DE	Littmann, Enno	NONE	1875	1958	DE	M	GT
DE	Loepfe, Alfred	NONE	Missing	Missing	Missing	M	MO
DE	Lohner, Edgar	NONE	1919	1975	DE	M	ME
DE	Lohner, Edgar	NONE	1919	1975	DE	M	MO
DE	Lorch, Fritz	NONE	Missing	Missing	DE	M	ME
DE	Luitpold, Josef	NONE	1886	1966	AT	M	KA
DE	Lütgen, Kurt	NONE	1911	1992	DE	M	NU
DE	Luther, Arthur	NONE	1876	1955	DE	M	KA
DE	Lüthy, Herbert	NONE	1918	2002	CH	M	MO
DE	Lutzjak, Halina	NONE	1924	2011	UKR; DE	F	KA
DE	Maruhn, Siegfried	NONE	1923	2011	Missing	M	MO
DE	Matheis, F.	NONE	Missing	Missing	Missing	Missing	GT
DE	Mathi, Maria	NONE	1889	1961	DE	F	GT
DE	Mayer, Elisabeth	NONE	Missing	Missing	Missing	F	WA
DE	Mayr, Rolf	NONE	Missing	Missing	Missing	M	WA
DE	Meienburg, K. H.	NONE	Missing	Missing	Missing	Missing	GT
DE	Meister, Guido G.	NONE	Missing	Missing	Missing	M	MO; ME
DE	Meitner, Clarisse	NONE	1891	Missing	AT	F	MO
DE	Mendelssohn Bartholdy, Edith	NONE	1882	1969	DE 	F	MO
DE	Meyer-Clason, Curt	NONE	1910	2012	DE	M	ME
DE	Meyer-Lüne, Ilse	NONE	1886	Missing	Missing	F	ME
DE	Mikusch, Dagobert von	NONE	1874	1950	DE	M	MO
DE	Miodrag, Vukié	NONE	Missing	Missing	Missing	M	ME
DE	Misevicius, Albinas	NONE	Missing	Missing	Missing	Missing	GT
DE	Möhring, Beate	NONE	Missing	Missing	Missing	F	NU
DE	Moras, Joachim	NONE	1902	1961	DE	M	ME
DE	Möring, Richard	Moehring, Richard; Möhring, Richard; Moering, Richard; Gan, Peter	1894	1974	DE	M	ME; UM
DE	Mühlberger, Josef	NONE	1903	1985	Missing	M	GT
DE	Mülbe, Wolf-Heinrich von der	Mülbe, Wolfdietrich von der; Mülbe, Wolfheinrich von der	1879	1965	DE	M	ME; MO
DE	Müller, Hans Dieter	NONE	Missing	Missing	Missing	M	MO
DE	Müller, Max	NONE	Missing	Missing	Missing	M	MO
DE	Münz, Erwin Karl	NONE	1912	1978	DE	M	GT
DE	Nagel, Ivan	NONE	1931	2012	HU; DE	M	MO
DE	Nérac-Schoenberner, Eleonore	Schoenberner, Eleonore; Nérac-Schoenberner, Eléonore; Nérac-Schönberner, Eleonore; Nérac-Schönberner, Ella; Kadach-Nérac, Eleonore	1889	1957	DE	F	NU
DE	Neumann, Stefanie	NONE	Missing	Missing	Missing	M	MO
DE	Noah, Heinz	NONE	Missing	Missing	Missing	M	GT; NU
DE	Noeggerath, Felix	NONE	1885	1960	DE	M	ME
DE	Nostitz, Oswalt von	Nostitz, Oswalt M. von	1908	1997	DE	M	ME; MO
DE	Nothardt, Fritz	NONE	Missing	Missing	Missing	M	NU
DE	Pagel, L. H.	NONE	Missing	Missing	Missing	F	ME
DE	Palm, Erwin Walter	NONE	1910	1988	DE	M	ME
DE	Parigi, Ingrid	NONE	1907	Missing	Missing	F	ME
DE	Pariser, Anton	NONE	1890	1965	AT	M	GT
DE	Peterich, Eckart	NONE	1900	1968	DE	M	GT
DE	Picard, Fritz	NONE	Missing	Missing	Missing	M	UM
DE	Picht, Gerda	NONE	Missing	Missing	Missing	F	ME
DE	Piesen, Ferdinand	NONE	1909	1994	Missing	M	UM
DE	Pilzer, Gerhard	NONE	Missing	Missing	Missing	M	MO
DE	Piontek, Heinz	NONE	1925	2003	DE	M	ME
DE	Piwitt, Hermann	NONE	1935	Missing	DE	M	MO
DE	Platen, Alice	NONE	Missing	Missing	Missing	F	WA
DE	Politzer, Heinz	NONE	1910	1978	AT; US	M	MO
DE	Rademacher, Susanna	NONE	1899	1980	DE	F	MO
DE	Rasch, Wolfdietrich	NONE	1903	1986	DE	M	WA
DE	Rechel, Eva	Rechel-Mertens, Eva	1895	1981	DE	F	ME
DE	Reifenberg, Maryla	Reifenberg-Mazurkiewicz, Maryla; Mazurkiewicz, Maria Józefa von	1892	1981	PL	F	ME; MO
DE	Reinhard, Ernst	NONE	Missing	Missing	Missing	M	MO
DE	Reis, Kurt	Costello, Conte; Karolyi, Stephan; Markus, Mario; Orlowski, Axel von; Ritter, Kurt	1928	Missing	DE	M	MO
DE	Reischach-Scheffel, Margarete von	NONE	1894	1977	DE	F	ME
DE	Richter-Ruhland, Walter	Richter, Walter	1910	1975	DE	M	ME
DE	Riha, Karl	NONE	1935	Missing	DE	M	MO
DE	Rilke, Rainer Maria	NONE	1879	1926	AT	M	NU
DE	Rismondo, Piero	NONE	1905	1989	AT	M	MO
DE	Roeder, Eva	NONE	Missing	Missing	Missing	F	NU
DE	Roediger, C.	NONE	Missing	Missing	Missing	M	ME
DE	Roland, Elisabeth-Charlotte	NONE	Missing	Missing	DE	F	UM
DE	Römer, Rudolf	NONE	Missing	Missing	Missing	M	KA
DE	Ronai, Andreas	NONE	Missing	Missing	Missing	M	MO
